yrs,meanT,meanCO2
0,9.463085714,360.1216545
25,,290.5486724
33,10.265,435.5765849
42,,480.3742396
46,9.8632,291.3653018
50,9.2078,464.8819193
56,9.2078,
63,11.044,
75,10.0271,382.5213565
87,11.192,335.0882045
94,11.0738,291.0273691
113,,247.8291566
116.6666667,10.964,362.7847857
125,11.114,364.9259545
138,,237.4046952
142,,664.73
133,11.317,297.244939
160,12.065,411.710373
169,12.961,437.3992739
184.6666667,12.43066667,477.43
179,,651.1017778
197,11.8685,
201,,467.968134
210.5,12.01325,271.6607909
215,,617.06
223,11.763,
238,10.96,308.9157004
242,11.992,367.9170292
245,11.3115,259.5827251
251,,466.77
253,11.4975,270.8927374
263,,277.0498239
263,11.727,367.6258037
278,9.9615,601.34
283,11.297,285.0043614
299,,522.72
301,10.949,
311,11.94833333,508.0434631
331,,398.1250249
342,,502.0203969
363,11.734,
400,12.6294,
413,,334.2321626
474,11.364,349.6766374
498,11.4035,
508,11.091,269.8730417
531,,333.894829
543,10.58106667,
589,10.481,598.3629812
600,12.13633333,402.4779745
623,10.876,332.3458373
633,10.082,
645,,269.2656646
660,10.344,537.4901859
671,10.4018,
695,10.942,683.2783395
706,10.5265,
730,10.4955,388.0512058
753,11.24333333,381.5914874
